ID,DATE,HIGH
1,2019-01-02,1553.359985
2,2019-01-03,1538
3,2019-01-04,1594
4,2019-01-07,1634.560059
5,2019-01-08,1676.609985
6,2019-01-09,1667.800049
7,2019-01-10,1663.25
8,2019-01-11,1660.290039
9,2019-01-14,1648.199951
10,2019-01-15,1675.160034
11,2019-01-16,1705
12,2019-01-17,1700.170044
13,2019-01-18,1716.199951
14,2019-01-22,1681.869995
15,2019-01-23,1657.430054
16,2019-01-24,1657.26001
17,2019-01-25,1683.47998
18,2019-01-28,1645
19,2019-01-29,1632.380005
20,2019-01-30,1676.949951
21,2019-01-31,1736.410034
